Country,yr2014,yr2015,yr2016,yr2017,yr2018
Albania,3503,2106,218,0,2601
Argentina,102600,61800,81900,33300,17400
Armenia,50952,83634,102962,113560,84100
Australia,978534,995881,947555,849121,913336
Azerbaijan,784,969,1941,1991,1645
Bolivia,10746,9479,8718,7219,5200
Botswana,38000,9162,12415,1239,1462
Brazil,301197,359463,337600,384542,381000
Bulgaria,108323,111746,109702,109078,109400
Burma,42000,71000,95000,116000,154000
Canada,672729,714647,693059,597194,539473
Chile,5761100,5772100,5552600,5503500,5831600
China,1776794,1712065,1900188,1706400,1591000
Colombia,4118,5463,8493,9355,10371
"Congo, Democratic Republic",1030129,1039007,1023687,1094638,1225227
Cyprus,3088,2121,1754,1293,908
Dominican Republic,9262,7324,9725,9618,8588
Ecuador,3000,1800,1000,8200,8000
Eritrea,88900,61600,25300,7900,17300
Finland,42790,41085,47488,53144,46755
Georgia,6800,13000,14000,15000,13000
India,24889,32493,31999,33678,37000
Indonesia,378500,578600,728000,622030,651136
Iran,216800,246400,289300,295621,316500
Kazakhstan,471700,473600,474800,557800,635500
"Korea, Dem. P.R. of",7700,8600,12600,1800,0
Kyrgyzstan,700,3100,8200,7500,7200
Laos,159696,167702,177939,153304,147019
Macedonia,9600,11400,10200,9000,8000
Mauritania,33079,45001,32820,28791,28138
Mexico,515025,594451,766129,742246,696580
Mongolia,253000,318000,516000,475000,458780
Morocco,16579,19903,23586,24603,23859
Namibia,5249,14010,16653,15534,15177
Oman,13699,7828,0,0,0
Pakistan,18000,16000,14100,15000,16700
Papua New Guinea,75901,45185,80022,105419,96287
Peru,1377642,1700817,2353859,2445585,2436951
Philippines,91824,83835,83649,68156,69933
Poland,421285,426196,424000,419000,401300
Portugal,75433,83081,74453,63812,49064
Romania,7200,3600,7300,7400,8100
Russia,691500,711400,702300,762300,785300
Saudi Arabia,10848,11563,27500,36279,67508
Serbia,33739,29827,41300,44800,44100
Slovakia,46,58,39,32,21
South Africa,78697,77360,65257,65503,46900
Spain,103900,112690,167736,198353,185237
Sweden,79345,75125,78992,104450,106142
Tajikistan,100,1400,2500,6100,0
Tanzania,6363,6465,7150,1331,0
Turkey,122000,108000,100000,83000,79600
USA,1384700,1416300,1461900,1290000,1250000
Uzbekistan,100000,100000,100000,100000,100000
Vietnam,20296,22524,22636,21451,23378
Zambia,708259,710860,725359,797266,851089
Zimbabwe,8261,8218,9101,8839,9077
